comment,rate
من لب تاپ این برند رو خریدم شکل ظاهریش دقیقا همینطوره ،سالی یکبار باید برای خدمات قاب سازی ببرمش تعمیر .الان ۳ ساله دارم ۳ بار به خاطر شکستن لولا و قاب سازی بردم ،دقت بیشتری در خرید لب تاپ کنید واقعا اعصاب خوردی داره ،من به دلیل ضعف سخت افزاری اصلا این مدل رو پیشنهاد نمیکنم.,0
قیمت بازار خیلی پایینتره,0
برای استفاده خانگی واقعا عالیه,5
به نسبت قیمت خوبه,4
"خوبه کار راه اندازه ولی پیشنهاد می کنم 
لپ تاپ با کارت گرافیک ان برد نگیرید . 
",3
سلام،خیلی خوب و عالی،کاربردی،و سالم به دستم رسید,5
حضوری خرید کردم برای کارای سبک خوبه ,5
من که خیلی راضی هستم ونرم افزار حسابداری نصب کردم و سرعت پردازش خوبی داره ,5
سلام من اول لپ تاپ رو برای کار های روزمره خریدم و خود فروشنده توی بخش پرسش و پاسخ گفت برای کار های روزمره خوبه اما بازی ریختم و خب خیلی خوبه بازی هایی مثل پی اس ۱۳ یا اساسن کرید یونیتی رو به راحتی اجرا میکنه یا حتی فیفا ۱۷ رو هم نصب میکنه یا حتی از همه مهم تر میتونه جی تی ای وی رو روی گرافیک medium یا low اجرا کنه خیلی خوبه حتما اگه خریدید از بهترین بازی هایی که میتونید نصب کنید wolverine : x_man origins هست ,0
لب تاپ نو صفحه ناچش کار نمیده پیش چندتا کامپیوتری بردم نتونست رفع عیب کنه,1
چه جالب.  ,0
بد نیست.,0
با سلام ما که 20روز پیش سفارش دادیم هنوز به دستمون نرسیده,0
لپ تاب در حد انتظارات دانشجویی و کارهای روزمره است نباید انتظار زیادی ازش داشت برای کسانی که میخوان برنامه های رندرینگ مثل 3DMAX یا  AutoCAD امثال اینها استفاده کنن این مدل لپ تاب به کارشون نمیاد,5
عالیه,5
از معایب این دستگاه با اولویت باید از کیفیت پایین صفحه نمایش بدلیل استفاده از پنل TFT ، رم چسبیده به برد و غیر قابل افزایش دادن و کارت گرافیکی UHD که ممکن تو استفاده از نرم افزار های گرافیکی متوسط شمارو محدود کنه,0
لپ تاپ خوبیه برای کارهای روزمره,4
من همین رو 512 گیگش حضوری از مغازه خریدم 40تومن هرچی باشه نو بهتر از نوع کلی پرس و جو کردم گفتند زیر بار دست دوم نرو ,0
"من این لپ‌تاپ رو ۱۲ ابان ۴۰۴ با قیمت ۳۶ میلیون خریدم، اول اینکه یک روزه رسید و واقعا پروسه تحویل و پکیجینگ عالی بود. لپتاپ بسیار زیبا ظریف باریک و باکیفیت هستش. اندازه صفحش اندازه لپتاپ قبلیمه که اونم لنوو بود اما چون حاشیه هاش کوچیک شده خیلی جمع و جور تر شده. خیلی پرسرعت و روان. ویندوز ۱۱ با فلش بوت در هفت دقیقه نصب شد. یکم سر دریافت درایور ها گیر داشت چون وایفای رو شناسایی نمیکرد می‌بایست از طریق یو اس بی اینترنت می‌گرفت. کیفیت صفحه خوبه اما عالی نیست. حافظه یکم کمه، رم بخاطر LPDDR5بودنش خیلی سریعه فقط قابل ارتقاء نیست ،وبکم بسیار عالی میکروفون بسیار عالی، من این لپ‌تاپ رو برای برگزاری کلاس های آنلاین خریدم چون قبلی خیلی اذیت میکرد. نگهداری باتری واقعا عالیه در حالت کم مصرف مخصوصا برای فیلم دیدن یا آفیس خیلی کم مصرف میکنه و حدودا ۶ تا ۷ ساعت باتری میده. سرعت شارژ فوق‌العاده اس، آداپتور ۶۵ واتی با کابل با کیفیت ،اگر روی rapid chargeبزارید عملا نیم ساعته صفر تا صد شارژ میکنه. خیلی قابلیت های خوبی داره، تایپ سی چند کاره  تبادل اطلاعات، انتقال تصویر، خروجی شارژ pd. اما متاسفانه ورودی شارژ ساپورت نمیکنه. و اینکه always on usb هستش حتی وقتی خاموشه هم تایپ سی برق داره. سی پی یوش برای من واقعا خوب و سریع عمل میکنه چون i3نسل ۱۳ هستش، لپتاپ قبلیم سلرون ۴۰۰۰ بود و واقعا نسبت به این اصلا قابل مقایسه نیست. وایفای و بلوتوث خیلی خوب کار میکنه اصلا قطعی ندارن و پایدارن. فن لپ‌تاپ واقعا خوب کار میکنه از لحاظ گردش هوا خیلی خوبه و سرعتش نسبت به کاری که می‌کنید تغییر میکنه و حتی نرم افزاری قابل تنظیمه. فقط یه مشکل بابت شرکت گارانتی کننده که تا اردیبهشت ۴۰۵ گارانتی داره عملا زیر یکسال. اما در هرصورت پیشنهاذ میشه لپ‌تاپ زیر این قیمت با سی پی یو سلرون هستش اصلا ارزش نداره واقعا این یکی خریدش میارزه.
نزدیک به یک ماه انواع لپتاپ رو نگاه کردم سرچ کردم اما با این بودجه بنظرم بهترین انتخاب همین بود",5
برای گیم در چه حدی است,0
بهترین گزینه در این رنج قیمتی,4
پل تاپم صداش قفله و نمیاد,1
عالی بود ,5
کالا به موقع رسید بسته بندی خوبی داشت,3
موقع نصب ویندوز با فلش بوت کارت شبکه wifi نصب نشد نگران نباشید درایورش با هزینه کم با معرفی مدال دستگاه قابل دانلود است که در زمان نصب یا بعد از نصب ویندوز رو دستگاه، نصب میشه و مابقی درایورها رو با اینترنت از سایت اصلی آپ دیت کنید موفق باشید ,5
تازه بدستم رسید..ولی دوسش دارم ,5
عرض سلام. متاسفانه یکی دو هفته قبل اینکه بخرم این لپتاپ رو قیمتش چند میلیون ارزون تر بود اما عرض یکی دو هفته یهو خیلی گرون شد اما لپتاپ بدی نیست در کل خوبه فقط یه عیب بزرگ داره اونم اینه که درایو اصلیش خیلی خیلی سخت گیر میاد و اگه نتونید نصب کنید خیلی چیزاش مثل تاچ پد یا کار نمیکنه یا بعضی قسمت ها فقط عمل میکنه و خیلی چیزای دیگش عمل نمیکنه. یه مقدار هم لپتاپ های لنوو داخل ایران به علت تحریم محدودیت دارن که با استفاده متوجه میشید. نگهداری شارژر هم خوب نیست تند تند باید تو شارژ باشه. به نظرم یا هزینه بیشتری کنید یا برید سراغ برندای دیگه. ,3
عالی بود ,5
من راضی ام چیز متفاوتی نیست برای بازی های معمولی فیلم دیدن.ادیت ویرایش کارهای اینجوری خوبه,0
عالی از نظر سخت افزاری میان رده خوبی هست برای کارای خانگی- دانش اموزی-دانشجویی- شرکتی کاملا مناسبه ویندوز ۱۱ هم راحت روش نصب شد ممنون از دیجی کالا تو بسته بندی مناسب و به موقع تحویل دادن.,5
سال گذشته در همین بازه زمانی این لپ تاپ رو با همین کانفیگ به قیمت 17 میلیون تومان خریدم با دلار شصت هزار تومانی ولی الان با این قیمت اصلا ارزش خرید نداره گرچه با این وضعیت قیمت دلار بازم بهترین گزینه است. در طول یک سال استفاده معمولی راضی هستم ولی حافظه دویست و پنجاه و شش اصلا کافی نیست و آزار دهنده است بهتره در همون اول یه حافظه ام تو نسل پنجم در کنارش بخرید,0
سلام. به همه. لپ تاپ با طراحی باریک و مینیمال و خیلی سبک و زیبا. مشخصات فنی با توجه به قیمت مناسبترین گزینه هست. صفحه نمایش زاویه دید مناسبی نداره. برخی دوستان در مورد مشکل نصب ویندوز گفته بودن. براحتی میتونید ویندوز رو با یک فلش بوتیبل نصب کنید. ویندوز 11 رو دانلود کنید و با نرم افزار Rufus یک فلش بوتیبل درست کنید.,0
برای پسرم خریدم راضی هستیم ,5
"یکی از بدترین تجربه های خرید من بود. سفارش دادم به گنجه برسه فروشنده دیجی کالا بود اما نفرستاد من ۳۲ خریده بودم و بعد شد ۳۷! پشتیبانی اصلا بدرد نمیخوره و اذیت کردن و در نهایت مجبور شدم با چند روز تاخیر ۳۷ بخرم
لپ تاپ خوبیه اما این رفتار دیجی کالا رو فراموش نمیکنم",2
فقط می تونم بگم همه فن حریفه  و عاااالی من یک ساله دارمش بینظیره هر برنامه ای رو بگی روش نصب کردم اصلا کم نمیاره,0
به نسبت قیمت کیفیت خوبی داره ,5
خیلی خوبه سرعت اینا عالی,5
کاملا سالم با بسته بندی مناسب بدستم رسید از خود دیجی کالا خریده بودم فرداش هم برای نصب برنامه اومدن و همه چیز عالی بود,5
"یه لپ تاپ خوب و عالی از برند مطرح لنوو خیلی کانفیگ خوبی داره و داره باتری فوق العاده صفحه نمایش خوب و همچنین ۱۵ و ۶ اینچ صفحه نمایش و بسیار عالیه 
عمر باتری خیلی خوبی داره و کیفیت بدن و استحکام قابل رقابت با سایر لپ‌تاپ‌های خوب بازار",0
خوب ولکثرا هم مثبت بودن نظرات,0
من برای کارهای روزمره و کارهای دانشگاه خریدم و برای این کاربردها مشکلی حس نکردم. ویندوز راحت نصب میشه و سرعت مناسبی هم داره.,4
"برای کاربری آفیس خریدم ، اکثر لپ تاپ های لنوو طراحی خوب و زیبایی دارن ، من چندین مدل لپ تاپ با این برند خریداری کردم و در کل راضی ام 
سرعت پردازنده با توجه به کانفیگش خوبه و صفحه نمایش قابل قبولی داره 
بهتر بود جنس بنده اش یا حداقل جنس قاب پشت صفحه نمایش فلزی باشه..
اما در کل ارزش خرید داره ",5
سلام به نسبت قیمت خوب هست ,2
"واقعا تو این قیمت بهترین انتخاب همین لپتاپ هست
سی پی یو core i3 که مصرف بهینه ای داره و در استفاده های روزمره و دانشجویی اصلا کم نمیاره
8 گیگ رم Lpddr5 که علاوه بر اینکه سرعت خوبی داره مصرف بهینه ای داره 
(فرق Ddr5 با Lpddr5 فقط تو همین مصرف باتری کمتر هست Lp مخفف low power هست)
صفحه نمایش قابل قبولی داره 
عمر باتری خوبه من تو کار با ورد و وب گردی اسکیرین تایم ۵ ساعت گرفتم ازش 
سرعت شارژ که عالیه
نصب ویندوز ۱۱ حدود ۲۰ دقیقه وقتم رو گرفت، بعد نصب ویندوز حتما همه ی درایور هارو از سایت اصلی دانلود و نصب کنید
بلندگو ها یکم ضعیف هستن و تقریبا مثل صدای گلگسی A56 سامسونگ هست بلندیش ولی خوبی که داره اینه که با صدای دالبی بهینه شدن و واقعا کیفیت خوبی دارن
من اول میخواستم همین لپتاپو با کانفیگ رایزن ۳ بگیرم 
پردازنده Intel core i3 عملکرد بهتری داره و بنچمارک ۱۱ هزارو گرفته و برای کار های روزمره و دانشجویی عالیه (به جز طراحی)
ولی رایزن ۳ گرافیک مجتمع Amd radeon رو داره که از لحاظ گرافیکی از اینتل ( یعنی این لپتاپ ) قوی تره.
جمعبندی میکنم اگر زیاد کار گرافیکی مثل طراحی، بازی، ادیت و ... انجام نمیدید بیاید سراغ اینتل و سرعت و روونی بیشتر رو تجربه کنید.
اما اگه کار گرافیکی سبک میخواید انجام بدید مثل ادیت عکس ( ویدیو نه ) برید سراغ رایزن ۳ و قدرت گرافیکی بیشتر و بهتر رو تجربه کنید.
",5
"عالی هست سخت افزار میان رده خوبی داره برای کارای خانگی/ دانش اموزی/دانشجویی/ دفتری و شرکتی کاملا مناسبه
ویندوز ۱۱ هم راحت روش نصب شد ",4
عالی بود,5
تابلویی که قب,0
روش ویندوز 11pro نصب کردم، سرعت بالا اومدن اش خوبه، مانیتور کیفیت معمولی داره، پورت شبکه LAN نداره و فقط با وای فای به اینترنت متصل میشه، باتری خوب نگه می داره. در کل نسبت به قیمت ارزنده است,5
